time,intensity,latitude,longitude,pressure,windspeed,translation_speed,zonal_speed,meridional_speed
2021072100,5,24.1,127.9,955,42,0.0,0.0,0.0
2021072106,5,24.2,127.2,955,42,11.0393,-10.9961,-0.9266
2021072112,5,24.0,126.6,955,42,9.6529,-8.4519,-4.6331
2021072118,5,23.7,126.2,955,42,7.5384,-5.0791,-5.5598
2021072200,5,23.4,126.0,955,42,3.1502,-2.5454,-1.8533
2021072206,5,23.5,125.9,955,42,2.5146,-1.7008,1.8533
2021072212,5,23.6,125.8,955,42,3.8692,-3.3991,1.8533
2021072218,5,23.7,125.5,955,42,6.5111,-3.3965,5.5598
2021072300,4,24.2,125.4,965,38,8.9993,-3.3939,8.3396
2021072306,4,24.6,125.1,965,38,6.5028,-3.3808,5.5598
2021072312,4,24.8,125.0,965,38,8.5069,-1.685,8.3396
2021072318,4,25.5,124.9,965,38,15.1981,-3.3647,14.826
2021072400,4,26.4,124.6,965,38,16.5216,-5.0181,15.7526
2021072406,4,27.2,124.3,965,38,14.4978,-4.1499,13.8994
2021072412,4,27.9,124.1,965,38,13.872,-4.9449,12.9728
2021072418,4,28.6,123.7,968,35,18.92,-9.0081,16.6793
2021072500,4,29.7,123.0,968,35,17.7539,-12.2033,12.9728
2021072506,4,30.0,122.2,970,33,9.582,-8.8538,3.7065
2021072512,3,30.1,121.9,972,30,6.7205,-5.6174,3.7065
2021072518,3,30.4,121.5,975,28,7.2661,-5.6117,4.6331
2021072600,3,30.6,121.2,978,25,0.0,0.0,0.0
