time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072100,24.1,127.9,95500.42,0.0,0.0,0.0
2021072106,24.3883,127.2357,97434.53,7.8949,-7.5687,-2.222
2021072112,23.8602,127.0052,96980.45,8.748,-6.5827,-5.7432
2021072118,23.7685,126.4557,95885.54,4.7351,-4.6566,-0.8497
2021072200,23.7685,126.4557,95128.59,7.988,-7.3533,3.1431
2021072206,24.1077,125.5886,94815.28,12.192,-11.9945,2.2461
2021072212,24.0109,125.0413,95107.45,4.7169,-4.6291,-0.897
2021072218,24.0109,125.0413,94625.86,4.8207,-2.7222,3.9817
2021072300,24.4406,124.7197,94456.61,9.6486,-5.4799,7.9542
2021072306,24.8693,124.3939,94513.62,7.9338,-7.3435,3.0264
2021072312,24.7672,123.8492,94802.67,12.2741,-10.164,6.9265
2021072318,25.6168,123.1849,94858.61,19.3333,-11.3773,15.6887
2021072400,26.4603,122.497,95328.9,16.9111,-13.2049,10.6451
2021072406,26.7656,121.6045,95788.51,20.1557,-17.9232,9.3737
2021072412,27.4719,120.3364,96658.76,23.7037,-22.3983,8.0023
2021072418,27.6292,118.8972,97370.57,16.1329,-16.1326,0.2882
2021072500,27.503,118.3741,97828.34,8.8895,-8.5634,-2.3499
2021072506,27.3756,117.8541,98090.87,11.8035,-11.7482,1.2111
2021072512,27.6337,116.9447,98316.66,8.8129,-8.4721,-2.3925
2021072518,27.1174,116.8245,98336.2,9.5985,6.2949,-7.2268
2021072600,26.8538,117.7115,98472.29,0.0,0.0,0.0
