"TIME","uzonal","umeridional"
2021-07-21_00,0,0
2021-07-21_06,-0.2258,-0.4769
2021-07-21_12,-1.2437,-0.8991
2021-07-21_18,-0.4766,-0.0954
2021-07-22_00,-0.1331,-0.0132
2021-07-22_06,0.6858,-0.3417
2021-07-22_12,-0.5262,-0.1429
2021-07-22_18,0.3563,1.3571
2021-07-23_00,0.3172,2.0377
2021-07-23_06,0.8701,2.3556
2021-07-23_12,-0.2431,2.8646
2021-07-23_18,0.1228,4.3913
2021-07-24_00,-0.7434,4.8046
2021-07-24_06,-1.0760,4.5798
2021-07-24_12,-2.4359,4.1996
2021-07-24_18,-1.6468,4.3264
2021-07-25_00,-1.4513,3.1880
2021-07-25_06,-0.8590,2.1395
2021-07-25_12,-0.9344,0.5719
2021-07-25_18,0.0467,0.1470
2021-07-26_00,0.6665,-0.6535
