"TIME","LAT","LON","MSLP (Pa)"
2021072103,24.0161,127.2048,97874.03
2021072106,24.1266,127.6155,97378.88
2021072109,24.1476,126.9332,96984.73
2021072112,23.8673,127.0339,96905.38
2021072115,23.8590,126.3790,96772.31
2021072118,23.9653,126.4581,96320.83
2021072121,23.9355,126.4823,96112.18
2021072200,23.8762,126.2409,95895.80
2021072203,23.9275,126.1163,95754.46
2021072206,24.0260,125.8284,95595.77
2021072209,24.0475,125.7278,95523.26
2021072212,24.0947,125.5644,95522.89
2021072215,23.9595,125.2205,95405.10
2021072218,24.0532,125.1839,95081.16
2021072221,24.1469,125.1473,94854.70
2021072300,24.4449,124.8972,94660.23
2021072303,24.7124,124.6706,94468.99
2021072306,24.7380,124.6068,94286.44
2021072309,24.9033,124.3386,94234.02
2021072312,25.1103,124.1596,94383.05
2021072315,25.4724,123.9286,94539.72
2021072318,25.7703,123.7084,94510.78
2021072321,26.1590,123.4475,94624.78
2021072400,26.4745,123.1176,94798.58
2021072403,26.8934,122.8654,94924.05
2021072406,27.3589,122.4765,95055.74
2021072409,27.7936,122.1108,95260.52
2021072412,28.1502,121.6317,95651.79
2021072415,28.6306,121.1201,96195.39
2021072418,29.0482,120.3380,96564.87
2021072421,29.2343,120.0144,96817.90
2021072500,29.3350,119.5362,97222.50
2021072503,29.5149,119.1676,97588.13
2021072506,29.5292,118.8148,97835.18
2021072509,29.4603,118.5912,98101.63
2021072512,29.6263,118.1750,98285.79
2021072515,29.4182,117.7873,98467.93
2021072518,29.4887,117.4558,98437.26
2021072521,29.4887,117.4558,98493.19
2021072600,29.4887,117.4558,98642.71
missing,-999.0000,-999.0000,-999.00
