"TIME","V2KM","V4KM_24N125E","V4KM_28N117E"
2021072106,46.2551,42.9382,48.9027
2021072112,24.4287,46.5036,45.1342
2021072118,41.4159,39.4910,38.4975
2021072200,32.0303,58.3628,58.5992
2021072206,57.7344,58.9426,37.7250
2021072212,43.3171,60.0023,62.4486
2021072218,40.2109,50.7508,50.2198
2021072300,54.3225,57.7696,87.1266
2021072306,48.4484,52.1471,97.5004
2021072312,52.4852,91.4831,117.1876
2021072318,100.3250,123.1848,161.1945
2021072400,112.4555,147.8338,223.8802
2021072406,138.0321,181.0817,269.9618
2021072412,182.4643,243.8755,343.3790
2021072418,239.3109,331.2895,441.4307
2021072500,278.3669,337.6122,530.9816
2021072506,275.3451,330.9224,520.2776
2021072512,304.1952,363.0386,606.5797
2021072518,324.6886,402.6113,671.8599
2021072600,348.5757,380.9792,733.5030
