time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072103,24.3883,127.2357,97828.36,0.0,0.0,0.0
2021072106,24.3883,127.2357,97434.53,10.5349,-3.8906,-9.787
2021072109,23.8602,127.0052,97149.79,10.5349,-3.8906,-9.787
2021072112,23.8602,127.0052,96980.45,9.4703,-9.3133,-1.6994
2021072115,23.7685,126.4557,96453.3,9.4703,-9.3133,-1.6994
2021072118,23.7685,126.4557,95885.54,0.0,0.0,0.0
2021072121,23.7685,126.4557,95360.02,0.0,0.0,0.0
2021072200,23.7685,126.4557,95128.59,9.6946,-5.4104,8.0505
2021072203,24.2029,126.1367,94913.98,15.976,-14.7065,6.2862
2021072206,24.1077,125.5886,94815.28,9.4347,-9.2648,-1.7643
2021072209,24.1077,125.5886,94800.11,9.4338,-9.2582,-1.7939
2021072212,24.0109,125.0413,95107.45,9.4338,-9.2582,-1.7939
2021072215,24.0109,125.0413,94846.59,0.0,0.0,0.0
2021072218,24.0109,125.0413,94625.86,0.0,0.0,0.0
2021072221,24.0109,125.0413,94572.84,9.6414,-5.4443,7.9634
2021072300,24.4406,124.7197,94456.61,9.6414,-5.4443,7.9634
2021072303,24.4406,124.7197,94362.74,9.6557,-5.4968,7.9449
2021072306,24.8693,124.3939,94513.62,15.8676,-14.6869,6.0527
2021072309,24.7672,123.8492,94531.67,9.3557,-9.1586,-1.8922
2021072312,24.7672,123.8492,94802.67,9.6344,-5.5448,7.8856
2021072315,25.1927,123.5197,94824.52,19.2876,-11.1787,15.7452
2021072318,25.6168,123.1849,94858.61,19.3289,-11.3263,15.6915
2021072321,26.0394,122.8443,95095.89,19.3795,-11.4954,15.6322
2021072400,26.4603,122.497,95328.9,19.4405,-11.6942,15.5618
2021072403,26.8791,122.142,95557.78,15.8333,-14.8075,5.658
2021072406,26.7656,121.6045,95788.51,23.9298,-23.706,3.4026
2021072409,27.0627,120.7079,96167.47,24.6751,-20.983,13.0895
2021072412,27.4719,120.3364,96658.76,15.794,-14.8827,5.3411
2021072415,27.3509,119.8061,97159.93,23.8263,-23.6643,2.9152
2021072418,27.6292,118.8972,97370.57,24.7976,-21.4911,12.4854
2021072421,28.0246,118.5005,97573.8,8.9064,-8.5889,-2.3388
2021072500,27.503,118.3741,97828.34,8.8756,-8.5429,-2.3888
2021072503,27.8957,117.9783,97980.24,8.8726,-8.5478,-2.361
2021072506,27.3756,117.8541,98090.87,8.8377,-8.4958,-2.4166
2021072509,27.7653,117.4596,98204.48,15.6951,-14.966,4.7832
2021072512,27.6337,116.9447,98316.66,15.9149,-10.4148,-12.0072
2021072515,27.1174,116.8245,98402.48,9.7707,-1.9735,-9.5683
2021072518,27.1174,116.8245,98336.2,0.0,0.0,0.0
2021072521,27.1174,116.8245,98365.39,15.4416,14.6313,-4.8852
2021072600,26.8538,117.7115,98472.29,0.0,0.0,0.0
