time,latitude,longitude,pressure,translation_speed,zonal_speed,meridional_speed
2021072103,24.138,127.3062,97861.22,0.0,0.0,0.0
2021072106,24.0764,127.6835,97295.94,6.9853,-6.7361,1.8588
2021072109,24.2383,126.9079,96894.41,13.5647,-13.0201,-3.7695
2021072112,23.873,126.914,96898.98,13.4718,-11.6382,-6.757
2021072115,23.8737,126.2192,96749.6,8.56,-8.1939,2.4908
2021072118,24.0074,126.4305,96274.74,1.3477,0.4084,-1.2843
2021072121,23.8044,126.2433,95967.43,8.1489,-7.4641,-3.258
2021072200,23.8316,125.9896,95820.64,5.2845,-4.3831,2.9559
2021072203,23.9639,125.9848,95684.65,2.1899,-1.3443,1.7291
2021072206,23.9249,125.9103,95558.21,5.3706,-4.9891,-1.983
2021072209,23.8569,125.6902,95482.33,9.813,-9.8117,0.1798
2021072212,23.9346,125.3311,95371.6,6.931,-6.9305,-0.0797
2021072215,23.8526,125.2813,95186.2,1.7352,-0.8927,1.4882
2021072218,24.0149,125.2784,94827.1,7.4864,2.4221,7.085
2021072221,24.2349,125.4242,94522.32,7.3099,-1.8875,7.0627
2021072300,24.396,125.1669,94317.98,8.8158,-5.6815,6.7477
2021072303,24.599,125.088,94101.13,5.6984,-2.2042,5.2558
2021072306,24.6796,125.0363,94024.37,5.2546,-1.7491,4.9556
2021072309,24.8664,124.9842,94048.78,12.7973,-3.3831,12.3445
2021072312,25.3457,124.8354,94175.05,14.3317,-4.7013,13.5436
2021072315,25.5972,124.7046,94283.25,11.8305,-5.3796,10.5431
2021072318,25.9146,124.5142,94287.25,13.3476,-4.2921,12.6429
2021072321,26.2794,124.4478,94426.05,15.3751,-3.1371,15.054
2021072400,26.7269,124.326,94642.41,16.6766,-6.9825,15.1559
2021072403,27.0972,124.0276,94755.76,18.3902,-5.565,17.5355
2021072406,27.6731,123.9898,94910.2,21.1939,-5.2151,20.5489
2021072409,28.206,123.7115,95032.38,20.16,-8.6855,18.2119
2021072412,28.6558,123.4606,95256.36,18.2428,-10.4703,14.9669
2021072415,29.0136,123.0704,95588.24,18.5575,-9.3624,16.0455
2021072418,29.5216,122.8849,95763.31,17.0465,-6.7534,15.6637
2021072421,29.8588,122.6537,95942.53,12.6508,-6.5876,10.8119
2021072500,30.105,122.4764,96168.89,12.3153,-8.2371,9.1736
2021072503,30.3538,122.1412,96328.03,11.1246,-7.2211,8.4768
2021072506,30.5624,122.026,96504.89,7.2276,-2.1685,6.8959
2021072509,30.7259,122.0056,96688.91,5.65,0.1229,5.6487
2021072512,30.8672,122.0337,96897.85,6.1264,-1.1422,6.0194
2021072515,31.0507,121.9339,97053.5,7.1082,-0.3468,7.0998
2021072518,31.2503,122.0119,97103.21,7.8454,2.2641,7.5131
2021072521,31.4561,122.0765,97220.16,4.6937,-0.488,4.6683
2021072600,31.5022,121.9811,97339.68,0.0,0.0,0.0
