"TIME","uzonal","umeridional"
2021-07-21_03,-2.3471,-1.0845
2021-07-21_06,-1.7986,-0.9327
2021-07-21_09,-0.3885,-2.0186
2021-07-21_12,-1.6128,-0.9199
2021-07-21_15,-1.1183,-1.5245
2021-07-21_18,-0.3848,-0.7180
2021-07-21_21,-0.2755,-0.1601
2021-07-22_00,-0.4285,0.8480
2021-07-22_03,-2.3059,0.3718
2021-07-22_06,-1.7106,-1.5474
2021-07-22_09,-2.1137,-1.2817
2021-07-22_12,-2.3086,-2.1308
2021-07-22_15,-1.5495,-0.2925
2021-07-22_18,-0.2067,0.9627
2021-07-22_21,0.4356,1.9330
2021-07-23_00,-1.5256,1.6396
2021-07-23_03,-1.1466,2.7890
2021-07-23_06,-2.7978,2.0602
2021-07-23_09,-1.8915,0.1984
2021-07-23_12,-1.3399,1.9946
2021-07-23_15,-1.8286,3.0488
2021-07-23_18,-1.6614,3.2677
2021-07-23_21,-2.2422,3.3494
2021-07-24_00,-3.0983,3.8260
2021-07-24_03,-3.7847,4.3129
2021-07-24_06,-2.1407,3.9334
2021-07-24_09,-3.5710,1.8514
2021-07-24_12,-5.2737,2.6193
2021-07-24_15,-4.1607,3.0799
2021-07-24_18,-3.6404,1.1303
2021-07-24_21,-4.0330,0.0794
2021-07-25_00,-1.6439,-0.0784
2021-07-25_03,-2.6542,-0.8384
2021-07-25_06,-0.3014,-1.2438
2021-07-25_09,-1.8585,-3.0207
2021-07-25_12,-2.2970,-4.3115
2021-07-25_15,-0.9983,-3.4422
2021-07-25_18,-0.6229,-2.9926
2021-07-25_21,-0.7319,-2.9532
2021-07-26_00,0.3861,-0.2507
